Time ns, Temperature
1583312632857705131, 2582
1583312633857704213, 2555
1583312634857727022, 2554
1583312635857708242, 2559
1583312636857697578, 2690
1583312637857700108, 2544
1583312638857685342, 2558
1583312639857735505, 2587
1583312640857733745, 2575
1583312641857696144, 2576
1583312642857715401, 2603
1583312643857669505, 2547
1583312644857730264, 2557
1583312645857727098, 2576
1583312646857656181, 2544
1583312647857658403, 2550
1583312648857655403, 2572
1583312649857672311, 2559
1583312650857667570, 2548
1583312651857686361, 2578
1583312652857655865, 2574
1583312653857661694, 2571
1583312654857656883, 2547
1583312655857717372, 2558
1583312656857691494, 2559
1583312657857709027, 2559
1583312658852663988, 2576
1583312659857683007, 2553
1583312660857683858, 2547
1583312661857706138, 2557
1583312662857706033, 2575
1583312663857700168, 2570
1583312664857718460, 2553
1583312665857679128, 2557
1583312666857674309, 2558
1583312667857690663, 2585
1583312668857700907, 2575
1583312669857709925, 2571
1583312670857714874, 2544
1583312671857703223, 2571
1583312672857701821, 2572
1583312673857691992, 2569
1583312674857673577, 2555
1583312675857690172, 2576
1583312676857645792, 2591
1583312677857648484, 2577
1583312678857640926, 2576
1583312679857643383, 2571
1583312680857690399, 2544
1583312681857665479, 2590
1583312682857674972, 2588
1583312683857688426, 2559
1583312684857692168, 2588
1583312685857682093, 2576
1583312686857689490, 2573
1583312687857687383, 2546
1583312688857699928, 2559
1583312689857685140, 2590
1583312690858539153, 2559
1583312691858684253, 2543
1583312692858679049, 2557
1583312693858636232, 2541
1583312694858679631, 2578
1583312695858685973, 2591
1583312696858636115, 2587
1583312697858638097, 2569
1583312698858632665, 2549
1583312699858641344, 2594
1583312700858660523, 2672
1583312701858654566, 2527
1583312702858693146, 2555
1583312703858683193, 2544
1583312704858640191, 2577
1583312705858674547, 2576
1583312706858677283, 2571
1583312707858623911, 2576
